PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Anthony Black,ORL,ORL @ TOR,12/29/2025,L,32,27,9,19,47.4,2,7,28.6,7,7,100,0,3,3,3,1,0,4,4,-3,34.1
Pelle Larsson,MIA,MIA vs. DEN,12/29/2025,W,15,3,1,5,20.0,1,3,33.3,0,0,-,0,2,2,0,0,0,0,2,2,5.4
Kel'el Ware,MIA,MIA vs. DEN,12/29/2025,W,24,19,8,12,66.7,3,6,50.0,0,0,-,5,4,9,0,1,0,0,1,4,32.8
Davion Mitchell,MIA,MIA vs. DEN,12/29/2025,W,32,10,4,8,50.0,2,4,50.0,0,0,-,0,3,3,9,0,1,3,4,17,27.1
Jonathan Isaac,ORL,ORL @ TOR,12/29/2025,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Jaime Jaquez Jr.,MIA,MIA vs. DEN,12/29/2025,W,28,20,8,11,72.7,1,2,50.0,3,6,50.0,1,2,3,11,0,0,0,0,23,40.1
Jonas Valančiūnas,DEN,DEN @ MIA,12/29/2025,L,16,6,3,3,100,0,0,-,0,0,-,1,3,4,1,0,1,2,3,-9,13.3
Goga Bitadze,ORL,ORL @ TOR,12/29/2025,L,16,2,1,2,50.0,0,0,-,0,1,0.0,2,3,5,0,0,2,0,4,-5,14.0
Paolo Banchero,ORL,ORL @ TOR,12/29/2025,L,38,23,9,19,47.4,2,4,50.0,3,4,75.0,3,12,15,10,0,1,1,1,-4,58.0
Tyus Jones,ORL,ORL @ TOR,12/29/2025,L,28,10,4,8,50.0,2,6,33.3,0,0,-,0,4,4,2,1,0,1,2,-13,19.8
Nikola Jokić,DEN,DEN @ MIA,12/29/2025,L,19,21,9,14,64.3,1,4,25.0,2,3,66.7,2,3,5,8,0,0,2,1,-1,37.0
DaRon Holmes II,DEN,DEN @ MIA,12/29/2025,L,8,4,0,0,-,0,0,-,4,4,100,0,3,3,0,0,0,0,1,-11,7.6
Gradey Dick,TOR,TOR vs. ORL,12/29/2025,W,15,15,4,7,57.1,2,4,50.0,5,6,83.3,1,0,1,0,1,0,0,2,-10,19.2
Bruce Brown,DEN,DEN @ MIA,12/29/2025,L,26,15,7,9,77.8,1,2,50.0,0,0,-,1,4,5,2,0,0,2,4,-16,22.0
