PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Stephen Curry,GSW,GSW vs. MIN,12/12/2025,L,32,39,14,28,50.0,6,15,40.0,5,7,71.4,2,3,5,5,0,0,2,3,-3,50.5
Quinten Post,GSW,GSW vs. MIN,12/12/2025,L,33,16,5,15,33.3,4,11,36.4,2,2,100,1,5,6,3,0,0,1,3,-5,26.7
Jaylen Clark,MIN,MIN @ GSW,12/12/2025,W,19,2,1,3,33.3,0,1,0.0,0,2,0.0,1,0,1,2,2,0,0,3,-10,12.2
Gui Santos,GSW,GSW vs. MIN,12/12/2025,L,6,2,1,1,100,0,0,-,0,0,-,1,0,1,0,0,0,1,1,-2,2.2
Jaden McDaniels,MIN,MIN @ GSW,12/12/2025,W,35,17,8,15,53.3,1,5,20.0,0,1,0.0,2,3,5,5,1,0,3,3,0,30.5
Bones Hyland,MIN,MIN @ GSW,12/12/2025,W,5,3,1,1,100,1,1,100,0,0,-,0,0,0,2,0,0,0,1,2,6.0
Buddy Hield,GSW,GSW vs. MIN,12/12/2025,L,19,6,2,4,50.0,2,4,50.0,0,0,-,0,2,2,2,0,0,2,1,3,9.4
Gary Payton II,GSW,GSW vs. MIN,12/12/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,1,0,-2,-1.0
De'Anthony Melton,GSW,GSW vs. MIN,12/12/2025,L,20,9,2,6,33.3,0,2,0.0,5,6,83.3,1,1,2,1,1,0,1,3,4,14.9
Rudy Gobert,MIN,MIN @ GSW,12/12/2025,W,35,24,11,13,84.6,0,0,-,2,3,66.7,4,10,14,1,2,1,0,4,8,51.3
Naz Reid,MIN,MIN @ GSW,12/12/2025,W,30,18,7,14,50.0,3,7,42.9,1,2,50.0,0,4,4,7,1,0,0,1,7,36.3
Terrence Shannon Jr.,MIN,MIN @ GSW,12/12/2025,W,30,9,3,7,42.9,0,0,-,3,4,75.0,1,3,4,3,2,1,2,3,12,25.3
Trayce Jackson-Davis,GSW,GSW vs. MIN,12/12/2025,L,15,8,3,4,75.0,0,0,-,2,2,100,3,4,7,1,0,2,0,1,0,23.9
Jimmy Butler III,GSW,GSW vs. MIN,12/12/2025,L,37,15,6,11,54.5,0,2,0.0,3,4,75.0,2,6,8,5,1,0,1,2,-5,34.1
Brandin Podziemski,GSW,GSW vs. MIN,12/12/2025,L,23,2,1,4,25.0,0,2,0.0,0,0,-,0,2,2,4,0,0,2,2,-11,8.4
Pat Spencer,GSW,GSW vs. MIN,12/12/2025,L,28,12,5,13,38.5,2,6,33.3,0,0,-,0,5,5,4,2,0,2,2,-15,28.0
Moses Moody,GSW,GSW vs. MIN,12/12/2025,L,23,11,5,10,50.0,1,4,25.0,0,1,0.0,2,2,4,2,3,0,0,5,1,27.8
Donte DiVincenzo,MIN,MIN @ GSW,12/12/2025,W,35,21,7,15,46.7,4,10,40.0,3,4,75.0,2,4,6,4,0,1,0,4,16,37.2
Rob Dillingham,MIN,MIN @ GSW,12/12/2025,W,17,6,3,7,42.9,0,1,0.0,0,0,-,0,1,1,0,0,0,2,1,0,5.2
Sion James,CHA,CHA vs. CHI,12/12/2025,L,26,14,5,9,55.6,2,4,50.0,2,3,66.7,0,4,4,1,0,0,1,0,-12,19.3
Jalen Smith,CHI,CHI @ CHA,12/12/2025,W,17,5,2,9,22.2,1,3,33.3,0,0,-,5,5,10,1,1,1,0,0,10,24.5
KJ Simpson,CHA,CHA vs. CHI,12/12/2025,L,25,10,4,9,44.4,2,3,66.7,0,0,-,1,4,5,3,1,0,1,2,11,22.5
Julian Phillips,CHI,CHI @ CHA,12/12/2025,W,3,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-4,0.0
Drew Peterson,CHA,CHA vs. CHI,12/12/2025,L,6,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,0,0.0
Miles Bridges,CHA,CHA vs. CHI,12/12/2025,L,34,32,13,20,65.0,4,7,57.1,2,3,66.7,0,2,2,7,0,0,0,1,8,44.9
Zach Collins,CHI,CHI @ CHA,12/12/2025,W,20,16,6,7,85.7,2,3,66.7,2,2,100,2,6,8,2,0,1,1,1,17,30.6
Brandon Miller,CHA,CHA vs. CHI,12/12/2025,L,34,18,8,22,36.4,2,8,25.0,0,0,-,1,4,5,4,1,2,3,5,-13,36.0
Josh Green,CHA,CHA vs. CHI,12/12/2025,L,17,2,1,2,50.0,0,1,0.0,0,0,-,0,0,0,1,1,0,0,2,-3,6.5
Matas Buzelis,CHI,CHI @ CHA,12/12/2025,W,24,10,5,8,62.5,0,2,0.0,0,0,-,0,0,0,1,0,2,0,3,0,17.5
Nikola Vučević,CHI,CHI @ CHA,12/12/2025,W,22,13,6,8,75.0,1,2,50.0,0,1,0.0,0,3,3,4,0,1,1,0,-15,24.6
Tre Jones,CHI,CHI @ CHA,12/12/2025,W,25,6,3,9,33.3,0,2,0.0,0,0,-,0,2,2,5,0,0,1,0,-1,14.9
Dalen Terry,CHI,CHI @ CHA,12/12/2025,W,14,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,1,0,0,1,1,-3,3.7
Josh Giddey,CHI,CHI @ CHA,12/12/2025,W,34,26,10,17,58.8,2,4,50.0,4,4,100,1,6,7,11,1,0,3,2,8,50.9
Ryan Kalkbrenner,CHA,CHA vs. CHI,12/12/2025,L,31,10,5,6,83.3,0,0,-,0,0,-,1,5,6,2,0,0,1,2,15,19.2
Kon Knueppel,CHA,CHA vs. CHI,12/12/2025,L,36,33,12,21,57.1,5,12,41.7,4,4,100,2,3,5,9,0,0,2,3,8,50.5
Moussa Diabaté,CHA,CHA vs. CHI,12/12/2025,L,13,2,1,2,50.0,0,0,-,0,0,-,2,1,3,0,0,1,0,3,-17,8.6
Isaac Okoro,CHI,CHI @ CHA,12/12/2025,W,26,15,7,11,63.6,0,2,0.0,1,1,100,1,2,3,1,0,0,0,3,-4,20.1
Coby White,CHI,CHI @ CHA,12/12/2025,W,30,20,6,15,40.0,1,4,25.0,7,9,77.8,0,5,5,2,0,0,2,1,7,27.0
Tidjane Salaün,CHA,CHA vs. CHI,12/12/2025,L,17,5,2,5,40.0,1,2,50.0,0,0,-,1,1,2,3,2,0,0,1,-12,17.9
Patrick Williams,CHI,CHI @ CHA,12/12/2025,W,26,16,6,8,75.0,3,5,60.0,1,2,50.0,2,3,5,1,1,1,2,0,0,27.5
Jericho Sims,MIL,MIL vs. BOS,12/11/2025,W,10,2,1,2,50.0,0,0,-,0,0,-,0,1,1,0,0,0,2,1,-3,1.2
Derrick White,BOS,BOS @ MIL,12/11/2025,L,29,11,3,12,25.0,2,9,22.2,3,3,100,1,1,2,3,0,0,4,1,7,13.9
Kevin Porter Jr.,MIL,MIL vs. BOS,12/11/2025,W,32,18,6,10,60.0,1,3,33.3,5,5,100,2,8,10,13,1,0,3,4,-6,49.5
Thanasis Antetokounmpo,MIL,MIL vs. BOS,12/11/2025,W,2,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Pete Nance,MIL,MIL vs. BOS,12/11/2025,W,2,2,1,2,50.0,0,1,0.0,0,0,-,0,1,1,0,0,0,0,0,-3,3.2
Andre Jackson Jr.,MIL,MIL vs. BOS,12/11/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Myles Turner,MIL,MIL vs. BOS,12/11/2025,W,28,4,1,6,16.7,0,4,0.0,2,4,50.0,1,2,3,0,0,2,1,3,15,12.6
Amir Coffey,MIL,MIL vs. BOS,12/11/2025,W,2,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,0.0
Josh Minott,BOS,BOS @ MIL,12/11/2025,L,22,7,2,4,50.0,2,3,66.7,1,2,50.0,0,1,1,1,2,0,1,3,-3,14.7
Jaylen Brown,BOS,BOS @ MIL,12/11/2025,L,29,30,10,17,58.8,2,4,50.0,8,9,88.9,1,2,3,3,0,0,4,3,-15,34.1
Baylor Scheierman,BOS,BOS @ MIL,12/11/2025,L,8,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-5,0.0
Gary Trent Jr.,MIL,MIL vs. BOS,12/11/2025,W,28,13,5,9,55.6,3,6,50.0,0,0,-,1,1,2,1,0,0,0,0,12,16.9
Jordan Hawkins,NOP,NOP vs. POR,12/11/2025,W,1,3,1,3,33.3,1,3,33.3,0,0,-,0,0,0,0,0,0,0,0,2,3.0
Karlo Matković,NOP,NOP vs. POR,12/11/2025,W,1,2,1,2,50.0,0,0,-,0,0,-,1,1,2,1,0,2,0,0,2,11.9
Javonte Cooke,POR,POR @ NOP,12/11/2025,L,4,0,0,1,0.0,0,0,-,0,0,-,0,1,1,1,0,0,1,0,0,1.7
John Collins,LAC,LAC @ HOU,12/11/2025,L,24,9,3,7,42.9,0,3,0.0,3,3,100,0,0,0,2,2,0,2,3,4,16.0
Payton Pritchard,BOS,BOS @ MIL,12/11/2025,L,31,11,4,14,28.6,3,11,27.3,0,0,-,1,4,5,7,0,0,0,1,-21,27.5
Reed Sheppard,HOU,HOU vs. LAC,12/11/2025,W,26,10,4,9,44.4,2,5,40.0,0,0,-,1,3,4,2,0,1,1,3,6,19.8
Jose Alvarado,NOP,NOP vs. POR,12/11/2025,W,23,4,2,8,25.0,0,3,0.0,0,0,-,1,4,5,9,0,1,2,0,12,24.5
Cole Anthony,MIL,MIL vs. BOS,12/11/2025,W,19,9,4,6,66.7,1,1,100,0,0,-,0,3,3,5,1,1,2,5,9,24.1
Deni Avdija,POR,POR @ NOP,12/11/2025,L,32,16,5,15,33.3,1,5,20.0,5,7,71.4,0,6,6,6,1,2,2,1,-12,39.2
Micah Peavy,NOP,NOP vs. POR,12/11/2025,W,11,5,2,3,66.7,1,1,100,0,0,-,1,2,3,1,0,0,0,1,15,10.1
Aaron Holiday,HOU,HOU vs. LAC,12/11/2025,W,17,13,4,9,44.4,4,7,57.1,1,2,50.0,0,1,1,0,0,0,1,2,0,13.2
Bogdan Bogdanović,LAC,LAC @ HOU,12/11/2025,L,24,10,2,4,50.0,2,3,66.7,4,4,100,0,5,5,2,1,0,0,2,-2,22.0
Anfernee Simons,BOS,BOS @ MIL,12/11/2025,L,26,7,2,9,22.2,1,6,16.7,2,2,100,0,0,0,2,1,0,0,1,-5,13.0
Shaedon Sharpe,POR,POR @ NOP,12/11/2025,L,27,21,8,14,57.1,4,6,66.7,1,4,25.0,0,3,3,3,0,1,2,4,-17,30.1
Josh Okogie,HOU,HOU vs. LAC,12/11/2025,W,21,8,3,6,50.0,1,3,33.3,1,2,50.0,3,0,3,2,1,0,0,3,-4,17.6
Caleb Love,POR,POR @ NOP,12/11/2025,L,22,9,4,9,44.4,0,5,0.0,1,1,100,1,0,1,4,0,0,2,0,-9,14.2
Jerami Grant,POR,POR @ NOP,12/11/2025,L,31,16,6,19,31.6,1,7,14.3,3,3,100,3,2,5,1,0,0,3,2,-32,20.5
Kevin Durant,HOU,HOU vs. LAC,12/11/2025,W,37,16,5,14,35.7,3,5,60.0,3,3,100,0,1,1,3,0,0,5,1,-6,16.7
Bryce McGowens,NOP,NOP vs. POR,12/11/2025,W,30,23,8,11,72.7,5,5,100,2,2,100,0,7,7,2,2,0,0,1,19,40.4
James Harden,LAC,LAC @ HOU,12/11/2025,L,40,22,7,18,38.9,4,10,40.0,4,5,80.0,1,2,3,7,3,0,4,3,4,41.1
Ivica Zubac,LAC,LAC @ HOU,12/11/2025,L,35,33,13,14,92.9,0,0,-,7,11,63.6,4,3,7,1,1,2,1,2,9,50.9
Sam Hauser,BOS,BOS @ MIL,12/11/2025,L,22,0,0,10,0.0,0,9,0.0,0,0,-,0,7,7,1,0,1,2,1,-15,10.9
Steven Adams,HOU,HOU vs. LAC,12/11/2025,W,18,4,2,4,50.0,0,0,-,0,0,-,3,3,6,2,2,0,1,0,10,19.2
Kris Dunn,LAC,LAC @ HOU,12/11/2025,L,26,9,3,7,42.9,3,7,42.9,0,0,-,0,1,1,6,2,0,3,3,7,22.2
Clint Capela,HOU,HOU vs. LAC,12/11/2025,W,7,4,2,3,66.7,0,0,-,0,0,-,2,0,2,0,0,0,0,0,1,6.4
Neemias Queta,BOS,BOS @ MIL,12/11/2025,L,25,9,3,6,50.0,0,0,-,3,6,50.0,5,5,10,0,0,0,1,2,-13,20.0
Gary Harris,MIL,MIL vs. BOS,12/11/2025,W,33,0,0,3,0.0,0,2,0.0,0,0,-,0,2,2,2,0,1,1,2,26,7.4
Jordan Poole,NOP,NOP vs. POR,12/11/2025,W,26,22,8,19,42.1,3,11,27.3,3,3,100,0,1,1,3,1,1,1,2,18,32.7
Bobby Portis,MIL,MIL vs. BOS,12/11/2025,W,26,27,11,13,84.6,5,6,83.3,0,0,-,1,9,10,0,1,0,0,1,12,42.0
Kawhi Leonard,LAC,LAC @ HOU,12/11/2025,L,41,24,9,22,40.9,3,10,30.0,3,3,100,2,7,9,4,5,1,1,3,-1,57.8
Kris Murray,POR,POR @ NOP,12/11/2025,L,29,7,2,6,33.3,0,4,0.0,3,4,75.0,4,5,9,1,2,2,2,2,-11,29.3
Hugo González,BOS,BOS @ MIL,12/11/2025,L,15,6,2,5,40.0,1,2,50.0,1,2,50.0,1,2,3,1,1,0,0,0,0,14.1
Yves Missi,NOP,NOP vs. POR,12/11/2025,W,13,5,2,4,50.0,0,0,-,1,2,50.0,5,3,8,0,1,3,0,1,11,26.6
Ryan Rollins,MIL,MIL vs. BOS,12/11/2025,W,26,10,4,10,40.0,2,4,50.0,0,0,-,0,2,2,7,2,0,3,5,10,25.9
Kobe Sanders,LAC,LAC @ HOU,12/11/2025,L,9,0,0,0,-,0,0,-,0,0,-,0,0,0,1,0,0,2,0,-12,-0.5
Jabari Smith Jr.,HOU,HOU vs. LAC,12/11/2025,W,37,18,6,14,42.9,2,8,25.0,4,4,100,3,7,10,4,1,0,4,6,-3,35.0
Jordan Walsh,BOS,BOS @ MIL,12/11/2025,L,32,20,8,10,80.0,3,4,75.0,1,1,100,4,4,8,0,3,0,1,3,-5,37.6
Kyle Kuzma,MIL,MIL vs. BOS,12/11/2025,W,31,31,13,17,76.5,1,2,50.0,4,5,80.0,0,6,6,0,0,1,3,3,12,38.2
Amen Thompson,HOU,HOU vs. LAC,12/11/2025,W,41,20,8,12,66.7,0,3,0.0,4,4,100,5,4,9,8,1,0,1,2,8,44.8
Nicolas Batum,LAC,LAC @ HOU,12/11/2025,L,28,6,2,5,40.0,2,5,40.0,0,0,-,1,2,3,2,0,1,2,3,-8,13.6
Duop Reath,POR,POR @ NOP,12/11/2025,L,13,2,1,5,20.0,0,3,0.0,0,0,-,1,1,2,1,0,1,1,1,-6,7.9
Derik Queen,NOP,NOP vs. POR,12/11/2025,W,35,17,8,12,66.7,0,0,-,1,1,100,2,3,5,7,2,0,0,4,12,39.5
Alperen Sengun,HOU,HOU vs. LAC,12/11/2025,W,36,22,9,22,40.9,0,3,0.0,4,6,66.7,5,10,15,5,4,0,5,5,-2,54.5
Brook Lopez,LAC,LAC @ HOU,12/11/2025,L,13,0,0,1,0.0,0,0,-,0,0,-,0,0,0,0,1,1,0,1,-11,6.0
Trey Murphy III,NOP,NOP vs. POR,12/11/2025,W,31,24,10,14,71.4,1,3,33.3,3,4,75.0,1,5,6,4,3,0,1,1,8,45.2
Herbert Jones,NOP,NOP vs. POR,12/11/2025,W,14,4,2,8,25.0,0,1,0.0,0,0,-,3,2,5,0,0,1,0,3,5,13.0
Saddiq Bey,NOP,NOP vs. POR,12/11/2025,W,29,15,5,14,35.7,1,4,25.0,4,4,100,5,3,8,5,0,0,1,0,0,31.1
Sidy Cissoko,POR,POR @ NOP,12/11/2025,L,32,20,8,12,66.7,3,6,50.0,1,1,100,2,2,4,2,0,1,0,2,-7,30.8
Russell Westbrook,SAC,SAC vs. DEN,12/11/2025,L,27,17,5,11,45.5,1,5,20.0,6,6,100,0,3,3,5,0,0,2,2,-19,26.1
Bruce Brown,DEN,DEN @ SAC,12/11/2025,W,26,8,2,5,40.0,0,1,0.0,4,4,100,2,3,5,7,1,0,3,2,6,24.5
DeMar DeRozan,SAC,SAC vs. DEN,12/11/2025,L,21,11,4,7,57.1,1,1,100,2,2,100,0,3,3,1,1,1,0,1,-27,22.1
Precious Achiuwa,SAC,SAC vs. DEN,12/11/2025,L,10,4,2,4,50.0,0,0,-,0,0,-,1,5,6,0,0,0,0,4,2,11.2
Doug McDermott,SAC,SAC vs. DEN,12/11/2025,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-1,0.0
Maxime Raynaud,SAC,SAC vs. DEN,12/11/2025,L,37,15,7,13,53.8,1,1,100,0,2,0.0,3,6,9,1,1,0,1,3,-26,29.3
Keegan Murray,SAC,SAC vs. DEN,12/11/2025,L,28,15,7,13,53.8,1,5,20.0,0,2,0.0,2,4,6,1,2,2,1,3,-12,34.7
Spencer Jones,DEN,DEN @ SAC,12/11/2025,W,22,2,1,1,100,0,0,-,0,0,-,1,2,3,1,0,0,0,2,25,7.1
Nique Clifford,SAC,SAC vs. DEN,12/11/2025,L,28,2,1,8,12.5,0,6,0.0,0,0,-,1,3,4,0,0,0,4,2,-29,2.8
Malik Monk,SAC,SAC vs. DEN,12/11/2025,L,30,18,5,11,45.5,3,6,50.0,5,6,83.3,1,3,4,5,1,0,5,0,-19,28.3
Jonas Valančiūnas,DEN,DEN @ SAC,12/11/2025,W,19,15,7,7,100,1,1,100,0,2,0.0,1,5,6,2,0,0,2,3,5,23.2
Cameron Johnson,DEN,DEN @ SAC,12/11/2025,W,33,16,6,13,46.2,1,5,20.0,3,4,75.0,1,2,3,1,1,0,1,1,17,23.1
Peyton Watson,DEN,DEN @ SAC,12/11/2025,W,23,21,7,10,70.0,2,3,66.7,5,8,62.5,2,0,2,1,0,0,2,3,17,22.9
Keon Ellis,SAC,SAC vs. DEN,12/11/2025,L,31,8,3,9,33.3,1,7,14.3,1,3,33.3,1,1,2,4,4,1,1,2,-14,30.4
Hunter Tyson,DEN,DEN @ SAC,12/11/2025,W,7,8,3,4,75.0,2,2,100,0,0,-,0,0,0,0,0,0,0,0,2,8.0
Drew Eubanks,SAC,SAC vs. DEN,12/11/2025,L,4,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,1,-12,0.0
Nikola Jokić,DEN,DEN @ SAC,12/11/2025,W,29,36,14,16,87.5,2,2,100,6,8,75.0,2,10,12,8,2,0,1,3,26,67.4
Zeke Nnaji,DEN,DEN @ SAC,12/11/2025,W,6,2,1,2,50.0,0,0,-,0,0,-,0,2,2,0,1,0,0,1,-3,7.4
Tim Hardaway Jr.,DEN,DEN @ SAC,12/11/2025,W,25,11,5,11,45.5,1,6,16.7,0,0,-,1,4,5,2,0,0,0,2,25,20.0
Devin Carter,SAC,SAC vs. DEN,12/11/2025,L,21,15,5,10,50.0,3,6,50.0,2,2,100,1,0,1,4,0,0,2,1,2,20.2
Jamal Murray,DEN,DEN @ SAC,12/11/2025,W,26,11,4,13,30.8,1,4,25.0,2,3,66.7,0,3,3,9,2,0,1,1,24,33.1
Jalen Pickett,DEN,DEN @ SAC,12/11/2025,W,25,6,2,6,33.3,2,5,40.0,0,0,-,0,5,5,4,2,0,2,0,11,22.0
Toumani Camara,POR,POR @ NOP,12/11/2025,L,28,15,5,10,50.0,3,8,37.5,2,2,100,0,4,4,5,1,0,1,5,-11,29.3
Rayan Rupert,POR,POR @ NOP,12/11/2025,L,24,14,6,11,54.5,2,4,50.0,0,0,-,2,4,6,3,1,0,1,2,-10,27.7
Jeremiah Fears,NOP,NOP vs. POR,12/11/2025,W,25,19,9,14,64.3,0,1,0.0,1,1,100,0,7,7,4,1,0,3,3,11,33.4
Alex Caruso,OKC,OKC vs. PHX,12/10/2025,W,13,3,1,3,33.3,1,2,50.0,0,0,-,1,0,1,1,3,0,2,0,-3,12.7
Dillon Brooks,PHX,PHX @ OKC,12/10/2025,L,26,16,4,16,25.0,2,5,40.0,6,7,85.7,0,2,2,1,0,0,0,3,-47,19.9
Jamaree Bouyea,PHX,PHX @ OKC,12/10/2025,L,28,14,6,9,66.7,2,3,66.7,0,0,-,0,2,2,6,1,1,2,0,-8,29.4
Khaman Maluach,PHX,PHX @ OKC,12/10/2025,L,10,2,1,3,33.3,0,1,0.0,0,0,-,0,3,3,1,0,0,0,0,-3,7.1
Collin Gillespie,PHX,PHX @ OKC,12/10/2025,L,26,2,1,5,20.0,0,1,0.0,0,0,-,1,3,4,3,3,0,4,0,-20,16.3
Branden Carlson,OKC,OKC vs. PHX,12/10/2025,W,12,11,5,5,100,1,1,100,0,0,-,0,2,2,0,0,1,0,0,11,16.4
Luguentz Dort,OKC,OKC vs. PHX,12/10/2025,W,22,12,4,8,50.0,3,6,50.0,1,1,100,1,3,4,1,0,0,0,3,38,18.3
Jaylin Williams,OKC,OKC vs. PHX,12/10/2025,W,21,2,1,3,33.3,0,1,0.0,0,0,-,2,4,6,6,1,0,0,2,15,21.2
Ousmane Dieng,OKC,OKC vs. PHX,12/10/2025,W,12,11,4,6,66.7,3,4,75.0,0,0,-,0,3,3,0,0,0,0,1,11,14.6
Jordan Goodwin,PHX,PHX @ OKC,12/10/2025,L,19,15,6,12,50.0,3,5,60.0,0,0,-,1,2,3,1,2,0,2,2,-14,24.1
Oso Ighodaro,PHX,PHX @ OKC,12/10/2025,L,19,6,3,7,42.9,0,0,-,0,0,-,2,3,5,3,0,0,1,1,-3,15.5
Aaron Wiggins,OKC,OKC vs. PHX,12/10/2025,W,22,6,2,7,28.6,2,4,50.0,0,0,-,0,3,3,1,2,0,2,4,18,15.1
Royce O'Neale,PHX,PHX @ OKC,12/10/2025,L,26,4,2,7,28.6,0,3,0.0,0,0,-,0,4,4,1,2,0,5,2,-34,11.3
Jalen Williams,OKC,OKC vs. PHX,12/10/2025,W,23,15,5,8,62.5,1,3,33.3,4,4,100,0,5,5,5,1,0,3,1,32,28.5
Chris Youngblood,OKC,OKC vs. PHX,12/10/2025,W,10,3,1,3,33.3,1,3,33.3,0,0,-,0,1,1,1,0,0,0,1,3,5.7
Nick Richards,PHX,PHX @ OKC,12/10/2025,L,7,0,0,0,-,0,0,-,0,0,-,0,5,5,1,0,0,2,2,-11,5.5
Mark Williams,PHX,PHX @ OKC,12/10/2025,L,19,9,2,5,40.0,0,0,-,5,7,71.4,1,4,5,1,1,0,0,0,-30,19.5
Grayson Allen,PHX,PHX @ OKC,12/10/2025,L,22,10,3,9,33.3,2,7,28.6,2,2,100,1,0,1,4,1,0,1,2,-41,19.2
Ryan Dunn,PHX,PHX @ OKC,12/10/2025,L,16,4,2,4,50.0,0,2,0.0,0,0,-,1,1,2,2,1,1,3,1,-20,12.4
Cason Wallace,OKC,OKC vs. PHX,12/10/2025,W,19,9,4,5,80.0,1,2,50.0,0,0,-,0,4,4,2,4,0,0,2,36,28.8
Shai Gilgeous-Alexander,OKC,OKC vs. PHX,12/10/2025,W,27,28,11,15,73.3,3,4,75.0,3,3,100,0,2,2,8,2,1,4,0,43,47.4
Nigel Hayes-Davis,PHX,PHX @ OKC,12/10/2025,L,12,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,0,0,0,0,0,-11,1.2
Rasheer Fleming,PHX,PHX @ OKC,12/10/2025,L,10,7,3,5,60.0,1,2,50.0,0,0,-,0,0,0,0,1,0,0,0,-3,10.0
Chet Holmgren,OKC,OKC vs. PHX,12/10/2025,W,25,24,9,13,69.2,4,4,100,2,3,66.7,2,6,8,2,0,3,0,0,33,45.6
Ajay Mitchell,OKC,OKC vs. PHX,12/10/2025,W,19,9,3,5,60.0,1,2,50.0,2,2,100,0,2,2,4,1,2,1,0,9,25.4
Kenrich Williams,OKC,OKC vs. PHX,12/10/2025,W,17,5,2,7,28.6,1,4,25.0,0,0,-,0,2,2,1,0,0,2,0,-1,6.9
Luka Dončić,LAL,LAL vs. SAS,12/10/2025,L,41,35,11,24,45.8,3,8,37.5,10,14,71.4,0,5,5,8,1,0,3,5,-2,53.0
Gabe Vincent,LAL,LAL vs. SAS,12/10/2025,L,14,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,3,-7,0.0
Rui Hachimura,LAL,LAL vs. SAS,12/10/2025,L,31,8,3,4,75.0,2,3,66.7,0,0,-,0,1,1,1,0,1,0,1,5,13.7
Jordan McLaughlin,SAS,SAS @ LAL,12/10/2025,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-1,0.0
Jaxson Hayes,LAL,LAL vs. SAS,12/10/2025,L,12,2,1,1,100,0,0,-,0,0,-,1,2,3,0,0,1,0,1,-10,8.6
Luke Kornet,SAS,SAS @ LAL,12/10/2025,W,33,10,1,3,33.3,0,0,-,8,9,88.9,1,7,8,1,0,1,0,1,10,24.1
Marcus Smart,LAL,LAL vs. SAS,12/10/2025,L,28,26,9,16,56.3,8,14,57.1,0,0,-,0,3,3,1,0,1,1,3,2,33.1
Kelly Olynyk,SAS,SAS @ LAL,12/10/2025,W,12,2,0,1,0.0,0,1,0.0,2,2,100,0,2,2,4,0,0,0,1,9,10.4
Stephon Castle,SAS,SAS @ LAL,12/10/2025,W,27,30,10,14,71.4,3,6,50.0,7,9,77.8,1,9,10,6,0,0,4,4,16,47.0
Harrison Barnes,SAS,SAS @ LAL,12/10/2025,W,33,16,5,12,41.7,4,9,44.4,2,2,100,2,1,3,1,1,0,1,1,8,23.1
Julian Champagnie,SAS,SAS @ LAL,12/10/2025,W,29,16,6,8,75.0,2,4,50.0,2,2,100,2,5,7,2,1,1,1,4,6,32.4
Bronny James,LAL,LAL vs. SAS,12/10/2025,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1,0.0
De'Aaron Fox,SAS,SAS @ LAL,12/10/2025,W,31,20,8,17,47.1,4,8,50.0,0,0,-,0,4,4,3,2,0,1,1,21,34.3
Austin Reaves,LAL,LAL vs. SAS,12/10/2025,L,40,15,6,16,37.5,2,6,33.3,1,1,100,1,7,8,7,0,1,3,5,-5,35.1
LeBron James,LAL,LAL vs. SAS,12/10/2025,L,36,19,7,14,50.0,0,3,0.0,5,6,83.3,1,14,15,8,0,3,3,2,-16,55.0
Deandre Ayton,LAL,LAL vs. SAS,12/10/2025,L,26,11,5,9,55.6,0,0,-,1,2,50.0,3,5,8,1,1,0,0,3,-10,25.1
Jake LaRavia,LAL,LAL vs. SAS,12/10/2025,L,9,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,1,1,0,1,0,-25,3.5
Dylan Harper,SAS,SAS @ LAL,12/10/2025,W,20,13,6,12,50.0,0,1,0.0,1,2,50.0,1,2,3,3,1,0,2,5,-2,22.1
Devin Vassell,SAS,SAS @ LAL,12/10/2025,W,31,8,2,10,20.0,1,4,25.0,3,3,100,0,4,4,5,3,1,1,0,5,31.3
Keldon Johnson,SAS,SAS @ LAL,12/10/2025,W,22,17,5,9,55.6,3,5,60.0,4,7,57.1,2,6,8,0,1,0,0,2,-6,29.6
Adou Thiero,LAL,LAL vs. SAS,12/10/2025,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,1,0,0,0,1,3.0
Dalton Knecht,LAL,LAL vs. SAS,12/10/2025,L,1,3,1,1,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,1,3.0
Lindy Waters III,SAS,SAS @ LAL,12/10/2025,W,1,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,-1,1.2
